objectid ,parentid,filename,format,title,creator,date,location,itemcategory,itemtype,medium,gender,label,culturalsignificance,itemdescription,date,location,originalowner,additionalimage
sw77,sw73,daydress_jacketbottom.JPG,image/jpg,Day Dress,,1860s ,,Clothing ,"Suits, Ensembles","Silk, Taffeta, Silk Taffeta  ",Female ,,,,2021,England,,
sw78,sw73,daydress_buttons.JPG,image/jpg,Day Dress,,1860s ,,Clothing ,"Suits, Ensembles","Silk, Taffeta, Silk Taffeta  ",Female ,,,,2021,England,,
sw79,sw73,daydress_jacketstructure.JPG,image/jpg,Day Dress,,1860s ,,Clothing ,"Suits, Ensembles","Silk, Taffeta, Silk Taffeta  ",Female ,,,,2021,England,,
sw80,sw73,daydress_skirtbottom.JPG,image/jpg,Day Dress,,1860s ,,Clothing ,"Suits, Ensembles","Silk, Taffeta, Silk Taffeta  ",Female ,,,,2021,England,,
sw81,sw73,daydress_skirtstructure.jpg,image/jpg,Day Dress,,1860s ,,Clothing ,"Suits, Ensembles","Silk, Taffeta, Silk Taffeta  ",Female ,,,,2021,England,,
sw82,,,compound_object,Cocktail Dress ,Ricci Michaels,1960s ,"Mayfair, London ",Clothing ,"Evening Dresses, Cocktail Dresses ","Velvet, Chiffon",Female ,"RicciMichaels, MAYFAIR",,"1960s evening dress, velvet and chiffon, midi length ",1985,London,,
sw83,sw82,cocktaildress_whole.jpg,image/jpg,Cocktail Dress ,Ricci Michaels,1960s ,"Mayfair, London ",Clothing ,"Evening Dresses, Cocktail Dresses ","Velvet, Chiffon",Female ,"RicciMichaels, MAYFAIR",,"1960s evening dress, velvet and chiffon, midi length ",1985,London,,
sw84,sw82,cocktaildress_front.jpg,image/jpg,Cocktail Dress ,Ricci Michaels,1960s ,"Mayfair, London ",Clothing ,"Evening Dresses, Cocktail Dresses ","Velvet, Chiffon",Female ,"RicciMichaels, MAYFAIR",,"1960s evening dress, velvet and chiffon, midi length ",1985,London,,
sw85,sw82,cocktaildress_label.jpg,image/jpg,Cocktail Dress ,Ricci Michaels,1960s ,"Mayfair, London ",Clothing ,"Evening Dresses, Cocktail Dresses ","Velvet, Chiffon",Female ,"RicciMichaels, MAYFAIR",,"1960s evening dress, velvet and chiffon, midi length ",1985,London,,
sw86,,,compound_object,Skechers Platforms,Skechers ,1970s ,"China, USA ",Shoes ,"Shoes, Accessories","Synthetic Leather, Rubber Sole ","Male, Female ",Somethin else from SKECHERS,Representation of genderless clothing ,"American brand, mass produced, unknown if male or female gendered ",2005,South Bend ,,
sw87,sw86,skechersplatforms_whole.jpg,image/jpg,Skechers Platforms,Skechers ,1970s ,"China, USA ",Shoes ,"Shoes, Accessories","Synthetic Leather, Rubber Sole ","Male, Female ",Somethin else from SKECHERS,Representation of genderless clothing ,"American brand, mass produced, unknown if male or female gendered ",2005,South Bend ,,
sw88,sw86,skechersplatforms_front.jpg,image/jpg,Skechers Platforms,Skechers ,1970s ,"China, USA ",Shoes ,"Shoes, Accessories","Synthetic Leather, Rubber Sole ","Male, Female ",Somethin else from SKECHERS,Representation of genderless clothing ,"American brand, mass produced, unknown if male or female gendered ",2005,South Bend ,,
sw89,sw86,skechersplatforms_label.jpg,image/jpg,Skechers Platforms,Skechers ,1970s ,"China, USA ",Shoes ,"Shoes, Accessories","Synthetic Leather, Rubber Sole ","Male, Female ",Somethin else from SKECHERS,Representation of genderless clothing ,"American brand, mass produced, unknown if male or female gendered ",2005,South Bend ,,
sw90,,,compound_object,Green heels ,Charles Jourdan ,1970s ,France ,Shoes ,"Shoes, Sandals, Accessories","Leather, Polyurthane ",Female ,"CHARLES JOURDAN, PARIS, MADE IN FRANCE; LEATHER, LEDER, CUIR; POLYURETHANE; MADE IN FRANCE",,"Charles Jardon heels made with high caliber green dyed leather, polyurthane green sole",1983-1985,Oxford,,
sw91,sw90,greenheels_whole.jpg,image/jpg,Green heels ,Charles Jourdan ,1970s ,France ,Shoes ,"Shoes, Sandals, Accessories","Leather, Polyurthane ",Female ,"CHARLES JOURDAN, PARIS, MADE IN FRANCE; LEATHER, LEDER, CUIR; POLYURETHANE; MADE IN FRANCE",,"Charles Jardon heels made with high caliber green dyed leather, polyurthane green sole",1983-1985,Oxford,,
sw92,sw90,greenheels_label.jpg,image/jpg,Green heels ,Charles Jourdan ,1970s ,France ,Shoes ,"Shoes, Sandals, Accessories","Leather, Polyurthane ",Female ,"CHARLES JOURDAN, PARIS, MADE IN FRANCE; LEATHER, LEDER, CUIR; POLYURETHANE; MADE IN FRANCE",,"Charles Jardon heels made with high caliber green dyed leather, polyurthane green sole",1983-1985,Oxford,,
